#{"t_start": 1783772626.898836, "env_id": "LunarLander-v3"}
r,l,t
256.316307,319,129.194901
230.832033,325,129.241761
231.811066,324,129.288346
30.903154,249,129.324382
220.83287,324,129.370846
285.57448,308,129.415604
264.77618,339,129.464142
254.119796,334,129.810939
238.193373,329,129.858209
145.759167,553,129.940881
17.101181,255,129.978018
238.254632,325,130.024363
252.146172,440,130.409661
199.819607,512,130.485553
269.873606,398,130.543447
272.763327,367,130.596621
264.812598,299,130.639415
228.542344,323,130.990765
245.252027,400,131.053877
265.911716,312,131.098709
253.166807,377,131.152718
251.482523,318,131.198334
17.658237,241,131.233109
143.921242,1000,131.686298
284.515729,344,131.735964
-16.61976,256,131.772785
26.046632,251,131.808959
268.135507,291,131.850704
284.671529,304,132.193581
18.509526,212,132.224188
250.06609,294,132.26642
13.199852,285,132.307262
225.950116,286,132.348531
269.319756,304,132.391986
259.826749,331,132.439168
-7.60979,251,132.477534
206.794424,313,132.870283
266.19865,311,132.91862
4.334892,260,132.959375
3.178793,285,133.00124
246.925969,309,133.046712
262.327071,332,133.097144
232.61736,947,133.552568
266.411929,357,133.605485
244.85581,328,133.654002
258.879514,314,133.700332
209.204814,308,133.74604
-31.141965,237,134.081849
225.512215,304,134.125886
245.816435,330,134.173749
239.930356,328,134.221655
10.43372,281,134.262425
10.717216,284,134.304235
263.594821,312,134.349995
214.954049,309,134.698907
272.371109,357,134.752314
256.275899,312,134.79811
18.992865,272,134.839139
233.803606,323,134.886828
271.550812,376,134.942279
263.270578,316,135.297792
247.638266,346,135.348768
3.118446,250,135.385706
224.987438,303,135.43007
265.180042,736,135.538275
237.049398,337,135.884653
263.374819,294,135.927641
252.278596,305,135.971922
254.484091,291,136.013715
31.017828,255,136.050711
236.864197,315,136.0962
261.564459,322,136.142827
19.806921,245,136.477499
274.268601,311,136.523498
221.432076,297,136.568329
272.511607,330,136.617396
-5.171855,250,136.654791
222.205908,446,136.720407
255.345535,302,136.764606
253.963704,272,137.114687
242.111224,291,137.158056
12.961677,261,137.196601
225.977131,291,137.23958
237.596039,348,137.291132
216.132784,327,137.339053
244.109355,350,137.694004
264.358653,370,137.749432
-5.552781,194,137.778811
284.687027,428,137.843088
263.261333,267,137.882547
260.681826,338,137.933053
10.022777,248,137.969855
263.131788,287,138.318876
271.6197,336,138.369006
227.212556,318,138.416037
246.546102,310,138.461769
270.111823,290,138.505945
265.074253,349,138.556985
220.519578,298,138.600624
222.837717,304,138.955874
265.600216,384,139.01323
258.46356,378,139.069964
231.527148,295,139.113751
276.922897,288,139.156479
29.965365,281,139.200296
247.101481,353,139.578834
196.791825,778,139.70213
252.625353,278,139.743378
-23.533015,281,139.786006
265.076475,327,139.835022
256.270073,282,140.182512
244.513863,347,140.234774
212.021829,547,140.316012
250.784681,311,140.362672
8.987688,226,140.395913
12.768162,186,140.423257
17.993374,254,140.460728
264.006212,277,140.808443
-27.199292,191,140.836779
247.612359,335,140.886502
260.182054,351,140.938478
241.763742,713,141.044895
243.617509,281,141.394035
7.244579,231,141.429502
227.170762,301,141.474429
271.674377,278,141.514935
231.770411,302,141.559661
-2.138964,259,141.597791
17.364685,227,141.631613
257.286746,337,141.680961
239.147737,326,142.034726
19.1244,239,142.069955
255.290047,300,142.113854
252.978049,259,142.152778
88.788667,1000,142.30185
259.995407,307,142.655009
16.389999,256,142.69343
258.239187,347,142.746038
250.127906,371,142.801054
25.681049,262,142.839924
244.352182,314,142.886692
25.263323,265,143.235868
246.827185,306,143.281642
266.573502,325,143.330125
236.559651,292,143.373619
232.462671,299,143.418615
236.350431,394,143.478498
258.589655,323,143.527875
249.194999,314,143.888954
-39.143498,261,143.92828
20.58424,227,143.961759
272.258353,320,144.010088
264.591462,290,144.054214
244.374258,301,144.098729
234.844671,271,144.139295
234.125731,312,144.497491
251.790784,284,144.539433
235.937774,286,144.581136
1.028725,229,144.615296
253.376722,353,144.667065
231.101721,307,144.711876
230.041579,318,144.758781
253.119187,301,145.106493
248.649491,335,145.155853
256.320545,305,145.200353
17.688516,238,145.23496
227.216516,306,145.279363
275.29141,279,145.319933
38.025285,241,145.354866
228.344431,284,145.697717
231.138308,346,145.748097
231.407122,295,145.790667
243.515792,271,145.82964
15.209564,235,145.863562
256.724367,333,145.911399
-25.309233,261,145.949088
218.173243,317,146.292831
236.245612,274,146.332653
25.684909,190,146.359972
237.390808,293,146.40182
230.883934,324,146.448171
-11.737577,254,146.48444
237.467304,300,146.527274
265.878428,260,146.861131
248.019174,311,146.906539
236.316621,355,146.958372
243.448414,275,146.997968
245.189527,301,147.041778
190.262992,482,147.112297
253.318817,321,147.454453
278.07871,345,147.504939
268.858351,322,147.551205
234.897847,282,147.591479
240.375311,292,147.633623
234.149674,288,147.675172
237.77285,331,147.722679
184.05782,520,148.094216
259.286575,302,148.137961
13.999334,227,148.170738
246.085896,326,148.217912
-3.252389,233,148.251715
0.324423,252,148.288233
230.600466,293,148.330659
263.182883,297,148.673251
256.962803,287,148.715019
186.378625,490,148.785943
246.83372,321,148.831842
6.699401,225,148.864355
244.127973,358,148.915855
243.293047,296,149.253377
-2.625033,213,149.28426
260.337777,276,149.324037
-9.383704,232,149.357523
4.331866,244,149.39264
219.715169,292,149.434777
13.476189,190,149.462161
-21.793739,193,149.49002
228.838535,322,149.831839
264.082643,276,149.871697
-28.372654,251,149.907842
251.565435,497,149.979613
244.458407,284,150.020675
258.55636,331,150.068464
-25.919567,204,150.097986
245.694931,302,150.43586
215.199652,303,150.480792
-39.766805,228,150.513756
255.002601,287,150.554968
243.314017,296,150.597644
19.944838,232,150.631094
245.800644,315,150.676562
-22.687034,230,151.005178
249.060701,274,151.044994
256.765451,441,151.109011
3.721959,270,151.147818
35.726201,238,151.18211
252.295802,459,151.248378
241.183268,318,151.294385
-9.481847,184,151.6161
257.806883,330,151.66357
219.754998,311,151.708394
233.880883,279,151.748234
238.327215,460,151.814893
220.978923,313,151.859657
